Date;Machine;Bird ID;Mass Tissue;OB Chamber;Baseline;Oligo;CCCP;AA;Routine;OxPhos;Leak;ETS;FCR1;FCR2;FCR3;Routine/mg;OxPhops/mg;Leak/mg;ETS/mg;AA/mg;Batch 
29.05.23;P2;C4A1015;17,14;B;18,1655;14,354;20,1118;4,7036;13,4619;3,8115;9,6504;15,4082;0,716867604;0,626315858;0,873684142;0,785408401;0,222374562;0,563033839;0,898961494;0,274422404;2
29.05.23;P1;C4A1041;17,87;A;19,9146;15,1524;21,9927;4,9354;14,9792;4,7622;10,217;17,0573;0,68207915;0,598981081;0,878169464;0,838231673;0,266491326;0,571740347;0,954521544;0,276183548;2
29.05.23;P2;C4A1021;9,86;A;26,4951;21,6463;35,0671;4,4159;22,0792;4,8488;17,2304;30,6512;0,780390594;0,562144386;0,720337214;2,239269777;0,491764706;1,747505071;3,108640974;0,447860041;2
29.05.23;P2;C4A1022;11;B;32,0328;25,6263;41,8049;4,9468;27,086;6,4065;20,6795;36,8581;0,763475596;0,561057135;0,734872389;2,462363636;0,582409091;1,879954545;3,350736364;0,449709091;2
29.05.23;P1;C4A1029;9,41;A;18,1396;13,5939;21,7329;5,2817;12,8579;4,5457;8,3122;16,4512;0,646466375;0,505264054;0,781578244;1,366408077;0,483071201;0,883336876;1,7482678;0,561285866;2
29.05.23;P1;C4A1031;14,82;B;28,9512;21,3282;36,412;4,7847;24,1665;7,623;16,5435;31,6273;0,684563342;0,523076583;0,764102532;1,630668016;0,51437247;1,116295547;2,134095816;0,322854251;2
30.05.23;P2;C4A1060;7,82;A;36,1061;27,2744;47,7085;5,8012;30,3049;8,8317;21,4732;41,9073;0,708571881;0,512397601;0,723141314;3,875306905;1,129373402;2,745933504;5,35898977;0,741841432;2
30.05.23;P2;C4A1062;7,13;B;28,1402;23,2339;37,7906;4,2981;23,8421;4,9063;18,9358;33,4925;0,794216952;0,565374338;0,71186385;3,343913043;0,688120617;2,655792426;4,69740533;0,602819074;2
30.05.23;P1;C4A1063;5,17;A;16,4512;13,6805;21,6463;3,7232;12,728;2,7707;9,9573;17,9231;0,782314582;0,555556795;0,710145008;2,461895551;0,535918762;1,925976789;3,466750484;0,720154739;2
30.05.23;P1;C4A1069;14,47;B;33,898;24,8964;44,035;7,2986;26,5994;9,0016;17,5978;36,7364;0,661586352;0,479028974;0,724061149;1,838244644;0,622087077;1,216157567;2,538797512;0,504395301;2
